NOMBRE,NOM_MUN,ENTIDAD,Total UP agropecuaria activas,UP Agricolas,UP Argri Riego ( R ),P UP Riego,UP Riego Gravedad (RG),UP RG Canales revestidos,UP RG Canales de Tierra,UP RG Tuber�a De Compuerta,UP R Por Microaspersi�n,UP R Por Aspersi�n,UP R Por Aspersi�n Pivote Central,UP R Por Aspersi�n Avance Frontal,UP R Por Aspersi�n Ca��n,UP R Por Aspersores,UP R Sistema De Goteo,UP R Mediante Alg�n Otro Sistema
30 VER,Nogales,  Nogales,1008,951,142,100,90.14084507,1.5625,82.03125,26.5625,2.112676056,1.408450704,0,0,50,50,15.49295775,2.112676056
30 VER,Oluta,  Oluta,394,349,1,100,0,0,0,0,0,0,0,0,0,0,0,100
30 VER,Omealca,  Omealca,3879,3859,723,100,43.15352697,3.205128205,91.98717949,94.23076923,46.05809129,59.47441217,1.162790698,0,94.18604651,9.534883721,0.691562932,0
30 VER,Orizaba,  Orizaba,30,23,4,100,100,0,100,100,0,0,0,0,0,0,0,0
30 VER,Otatitlán,  Otatitlán,510,504,1,100,0,0,0,0,100,100,0,0,100,0,0,0
30 VER,Oteapan,  Oteapan,38,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 VER,Ozuluama de Mascareñas,  Ozuluama De Mascareñas,4092,3758,230,99.13043478,97.80701754,8.968609865,81.16591928,91.92825112,1.754385965,1.315789474,0,33.33333333,66.66666667,66.66666667,3.50877193,1.315789474
30 VER,Pajapan,  Pajapan,2300,2224,15,100,40,16.66666667,33.33333333,66.66666667,20,26.66666667,0,0,75,25,53.33333333,0
30 VER,Pánuco,  Pánuco,7428,5323,2930,84.19795222,89.90676936,6.447249775,62.44364292,88.00721371,4.86420754,11.06607215,3.663003663,0.732600733,60.80586081,45.78754579,2.594244021,4.904742602
30 VER,Papantla,  Papantla,13517,13265,11,90.90909091,40,0,50,50,20,30,0,0,0,100,40,0
30 VER,Paso del Macho,  Paso Del Macho,3940,3893,829,100,71.04945718,65.36502547,29.8811545,95.58573854,17.37032569,33.29312425,1.449275362,0,86.5942029,29.34782609,1.326899879,0.120627262
30 VER,Paso de Ovejas,  Paso De Ovejas,2340,2233,1106,99.90958409,95.92760181,53.49056604,54.71698113,76.41509434,0.904977376,3.257918552,2.777777778,0,13.88888889,86.11111111,1.990950226,0.633484163
30 VER,La Perla,  La Perla,3747,3736,39,100,28.20512821,9.090909091,72.72727273,18.18181818,33.33333333,2.564102564,0,0,100,0,28.20512821,20.51282051
30 VER,Perote,  Perote,3277,3235,156,97.43589744,11.84210526,5.555555556,11.11111111,83.33333333,14.47368421,88.15789474,31.34328358,6.71641791,2.23880597,78.35820896,3.289473684,0
30 VER,Platón Sánchez,  Platón Sánchez,1406,1287,2,100,0,0,0,0,50,100,0,0,0,100,0,0
30 VER,Playa Vicente,  Playa Vicente,4858,3337,16,87.5,50,0,85.71428571,57.14285714,0,14.28571429,50,0,0,50,57.14285714,0
30 VER,Poza Rica de Hidalgo,  Poza Rica De Hidalgo,68,63,4,100,25,0,100,0,0,0,0,0,0,0,25,50
30 VER,Las Vigas de Ramírez,  Las Vigas De Ramírez,1357,1312,11,100,45.45454545,20,80,60,9.090909091,9.090909091,0,0,0,100,27.27272727,27.27272727
30 VER,Pueblo Viejo,  Pueblo Viejo,692,588,213,89.20187793,90.52631579,0,1.162790698,100,71.05263158,8.947368421,0,0,17.64705882,82.35294118,0,0.526315789
30 VER,Puente Nacional,  Puente Nacional,2711,2484,1041,77.80979827,78.64197531,14.12872841,35.32182104,78.49293564,11.11111111,20.86419753,0,0,28.40236686,85.79881657,2.716049383,0
